Group_Combined,Group,Year,Metric,Value
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2016,Enrollments / Applications,47
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2017,Enrollments / Applications,46
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2018,Enrollments / Applications,48
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2019,Enrollments / Applications,47
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2020,Enrollments / Applications,46
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2021,Enrollments / Applications,47
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2022,Enrollments / Applications,40
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2023,Enrollments / Applications,40
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2024,Enrollments / Applications,40
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2015,Enrollments / Admissions,63
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2016,Enrollments / Admissions,63
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2017,Enrollments / Admissions,62
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2018,Enrollments / Admissions,65
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2019,Enrollments / Admissions,63
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2020,Enrollments / Admissions,62
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2021,Enrollments / Admissions,62
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2022,Enrollments / Admissions,60
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2023,Enrollments / Admissions,59
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2024,Enrollments / Admissions,59
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2015,Enrollments / Confirmations,86
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2016,Enrollments / Confirmations,85
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2017,Enrollments / Confirmations,85
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2018,Enrollments / Confirmations,88
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2019,Enrollments / Confirmations,87
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2020,Enrollments / Confirmations,85
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2021,Enrollments / Confirmations,84
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2022,Enrollments / Confirmations,86
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2023,Enrollments / Confirmations,84
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2024,Enrollments / Confirmations,84
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2015,Applications (N),198
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2016,Applications (N),250
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2017,Applications (N),245
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2018,Applications (N),198
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2019,Applications (N),167
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2020,Applications (N),188
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2021,Applications (N),205
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2022,Applications (N),208
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2023,Applications (N),194
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2024,Applications (N),171
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2015,Admissions (N),165
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2016,Admissions (N),187
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2017,Admissions (N),206
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2018,Admissions (N),161
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2019,Admissions (N),135
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2020,Admissions (N),157
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2021,Admissions (N),175
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2022,Admissions (N),182
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2023,Admissions (N),159
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2024,Admissions (N),152
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2015,Confirmations (N),130
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2016,Confirmations (N),130
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2017,Confirmations (N),156
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2018,Confirmations (N),122
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2019,Confirmations (N),95
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2020,Confirmations (N),104
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2021,Confirmations (N),130
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2022,Confirmations (N),132
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2023,Confirmations (N),114
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2024,Confirmations (N),113
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2015,Enrollments (N),115
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2016,Enrollments (N),113
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2017,Enrollments (N),140
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2018,Enrollments (N),106
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2019,Enrollments (N),85
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2020,Enrollments (N),86
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2021,Enrollments (N),123
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2022,Enrollments (N),123
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2023,Enrollments (N),81
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2024,Enrollments (N),96
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2015,Admissions / Applications,83
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2016,Admissions / Applications,75
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2017,Admissions / Applications,84
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2018,Admissions / Applications,81
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2019,Admissions / Applications,81
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2020,Admissions / Applications,84
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2021,Admissions / Applications,85
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2022,Admissions / Applications,88
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2023,Admissions / Applications,82
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2024,Admissions / Applications,89
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2015,Confirmations / Applications,66
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2016,Confirmations / Applications,52
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2017,Confirmations / Applications,64
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2018,Confirmations / Applications,62
Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,Enrollments / Confirmations 86% 85% 85% 88% 87% 85% 84% 86% 84% 84%,2019,Confirmations / Applications,57
