School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
"Literacy, Elementary & Early Childhood Education",9,1355,151,450,50,35,13,608,47,203,16,20,69.0%,31.0%
Nursing,9,2008,223,654,73,34,33,30,1,295,9,41,98.5%,1.5%
Physical Edu. & Human Performance,15,2473,165,952,63,66,18,1202,67,580,32,40,67.3%,32.7%
Social Work,5,867,173,289,58,18,5,246,49,82,16,6,77.9%,22.1%
Special Education & Interventions,7,787,112,275,39,22,12,402,34,122,10,21,66.2%,33.8%
TOTAL (Ed & Prof. Studies),65,9672,149,3356,52,233,119,4322,36,2064,17,188,69.1%,30.9%
Biology,15,2711,181,961,64,50,18,946,53,553,31,29,74.1%,25.9%
Biomolecular Sciences,8,1179,147,434,54,23,5,134,27,112,22,7,89.8%,10.2%
Chemistry & Biochemistry,9,1685,187,661,73,41,6,286,48,218,36,13,85.5%,14.5%
Computer Electronics & Graphics Technology,8,809,101,270,34,26,11,1190,108,414,38,25,40.5%,59.5%
Computer Science,10,2013,201,671,67,42,3,411,137,137,46,7,83.0%,17.0%
Engineering,19,2672,141,1022,54,79,16,1303,81,448,28,26,67.2%,32.8%
Geological Sciences,7,906,129,298,43,23,5,417,83,191,38,8,68.5%,31.5%
Manufacturing & Construction Management,12,1663,139,544,45,54,18,1364,76,478,27,27,54.9%,45.1%
Mathematical Sciences,28,4936,176,1447,52,90,41,3774,92,1258,31,56,56.7%,43.3%
Physics & Engineering Physics,6,794,132,356,59,26,13,435,33,269,21,16,64.6%,35.4%
Technology & Engineering Education,4,394,99,122,31,13,6,258,43,77,13,11,60.4%,39.6%
"TOTAL (Eng, Sci & Tech)",126,19762,157,6786,54,467,142,10518,74,4155,29,225,65.3%,34.7%
No School TOTAL,0,0,,0,,0,1,298,298,150,150,15,0.0%,100.0%
UNIVERSITY TOTAL,394,70772,180,23731,60,1447,430,29788,69,11321,26,703,70.4%,29.6%
,,,,,,,,,,,,,,
,"Overview:
The Spring 2022 Excel file contains Central Connecticut State University’s Faculty & Student Credit Hour, Student Headcount Report. It provides a department-level breakdown of faculty headcounts, student enrollments, course sections, and student credit hours, separated by full-time (FT) and part-time (PT) faculty. The report also indicates the percentage of credit hours taught by each group, offering insights into instructional reliance across colleges.

Abbreviations Explained:

FT = Full-Time (faculty employed full-time)

PT = Part-Time (faculty employed part-time)

Faculty Headcount = Number of faculty members teaching courses

Student Credit Hr = Total student credit hours taught (measure of workload)

Credit Hr/Faculty = Average student credit hours taught per faculty member

Student Headcount = Total number of students enrolled in courses taught

Student Headcount/Faculty = Average number of students per faculty member

Sections Taught = Number of course sections delivered

% Credit Hr by FT Faculty / PT Faculty = Share of total credit hours taught by full-time versus part-time faculty",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
