School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
Geological Sciences,7,1065,152,345,49,22,5,536,107,250,50,10,66.5%,33.5%
Manufacturing & Construction Management,12,1752,146,597,50,45,18,1497,83,498,28,26,53.9%,46.1%
Mathematical Sciences,29,5740,198,1670,58,99,49,5728,117,1884,38,77,50.1%,49.9%
Physics & Engineering Physics,5,582,116,168,34,16,16,676,42,170,11,11,46.3%,53.7%
Technology & Engineering Education,4,345,86,115,29,12,5,239,48,59,12,6,59.1%,40.9%
"TOTAL (Eng, Sci & Tech)",128,22921,179,7797,61,437,159,14217,89,5315,33,240,61.7%,38.3%
No School TOTAL,0,0,,0,,0,0,196,,115,,16,0.0%,100.0%
UNIVERSITY TOTAL,417,80279,193,27179,65,1451,472,43764,93,15817,34,755,64.7%,35.3%
,,,,,,,,,,,,,,
,"Overview:
The Fall 2020 Excel file presents Central Connecticut State University’s Faculty & Student Credit Hour, Student Headcount Report. It summarizes faculty headcounts, student credit hours, sections taught, and enrollment across departments, broken down by full-time (FT) and part-time (PT) faculty. The file also shows the percentage of credit hours taught by each group, giving a clear view of instructional reliance across colleges.

Abbreviations Explained:

FT = Full-Time (faculty employed full-time)

PT = Part-Time (faculty employed part-time)

Faculty Headcount = Number of faculty members teaching courses

Student Credit Hr = Total student credit hours taught (measure of instructional workload)

Credit Hr/Faculty = Average credit hours per faculty member

Student Headcount = Number of students enrolled in courses taught

Student Headcount/Faculty = Average number of students per faculty member

Sections Taught = Number of course sections delivered

% Credit Hr by FT Faculty / PT Faculty = Proportion of credit hours taught by full-time versus part-time faculty",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
