School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
TOTAL (Ed & Prof. Studies),65,9594,148,3271,50,220,103,4801,47,2405,23,162,66.6%,33.4%
Biology,15,2595,173,1036,69,58,16,1183,74,548,34,23,68.7%,31.3%
Biomolecular Sciences,8,1498,187,630,79,27,7,272,39,165,24,9,84.6%,15.4%
Chemistry & Biochemistry,9,1611,179,643,71,35,6,328,55,260,43,13,83.1%,16.9%
Computer Electronics & Graphics Technology,8,909,114,303,38,25,11,1183,108,418,38,26,43.5%,56.5%
Computer Science,10,2277,228,759,76,38,4,429,107,143,36,8,84.1%,15.9%
Engineering,15,2461,164,908,61,61,20,1662,83,612,31,32,59.7%,40.3%
Geological Sciences,5,792,158,289,58,15,6,623,104,277,46,11,56.0%,44.0%
Manufacturing & Construction Management,12,1653,138,580,48,48,17,1350,79,472,28,25,55.0%,45.0%
Mathematical Sciences,27,5219,193,1531,57,98,44,4755,108,1585,36,69,52.3%,47.7%
Physics & Engineering Physics,5,1015,203,377,75,19,13,196,15,262,20,16,83.8%,16.2%
Technology & Engineering Education,4,393,98,135,34,15,5,260,52,81,16,8,60.2%,39.8%
"TOTAL (Eng, Sci & Tech)",118,20422,173,7191,61,439,149,12241,82,4823,32,240,62.5%,37.5%
No School TOTAL,0,0,,0,,0,2,449,225,242,121,20,0.0%,100.0%
UNIVERSITY TOTAL,383,73547,192,24903,65,1399,438,36739,84,14021,32,742,66.7%,33.3%
,,,,,,,,,,,,,,
,"Overview:
The Fall 2022 Excel file presents Central Connecticut State University’s Faculty & Student Credit Hour, Student Headcount Report. It outlines teaching activity across departments, including faculty headcounts, student enrollments, credit hours, and course sections, separated by full-time (FT) and part-time (PT) faculty. The report also shows the percentage of total credit hours taught by FT versus PT faculty, giving a clear picture of instructional balance.

Abbreviations Explained:

FT = Full-Time (faculty employed full-time)

PT = Part-Time (faculty employed part-time)

Faculty Headcount = Number of faculty teaching courses

Student Credit Hr = Total student credit hours taught (measure of teaching workload)

Credit Hr/Faculty = Average credit hours taught per faculty member

Student Headcount = Total number of students taught by faculty

Student Headcount/Faculty = Average number of students per faculty member

Sections Taught = Number of course sections delivered

% Credit Hr by FT Faculty / PT Faculty = Share of total credit hours taught by full-time versus part-time faculty",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
