School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
Computer Electronics & Graphics Technology,7,901,129,326,47,21,12,924,77,308,26,18,49.4%,50.6%
Computer Science,8,1738,217,580,73,38,8,840,105,280,35,14,67.4%,32.6%
Engineering,19,3625,191,1390,73,83,16,1339,84,459,29,23,73.0%,27.0%
Geological Sciences,5,1503,301,487,97,22,11,327,30,211,19,13,82.1%,17.9%
Manufacturing & Construction Management,12,1631,136,576,48,50,24,1698,71,559,23,32,49.0%,51.0%
Mathematical Sciences,30,5912,197,1686,56,104,50,5792,116,1916,38,79,50.5%,49.5%
Physics & Engineering Physics,5,1047,209,309,62,23,14,620,44,157,11,9,62.8%,37.2%
Technology & Engineering Education,4,473,118,157,39,15,7,274,39,81,12,11,63.3%,36.7%
"TOTAL (Eng, Sci & Tech)",123,24488,199,8429,69,524,167,13618,82,4871,29,236,64.3%,35.7%
No School TOTAL,0,0,,0,,0,2,290,145,146,73,19,0.0%,100.0%
UNIVERSITY TOTAL,424,87594,207,29582,70,1754,498,40098,81,14246,29,779,68.6%,31.4%
,,,,,,,,,,,,,,
,"Overview:
The Spring 2018 Excel file contains Central Connecticut State University’s Faculty & Student Credit Hour, Student Headcount Report. It breaks down faculty workloads, student enrollments, course sections, and credit hour distribution across departments. The data is reported separately for full-time (FT) and part-time (PT) faculty, showing their proportional share of total student credit hours.

Abbreviations Explained:

FT = Full-Time (faculty employed full-time)

PT = Part-Time (faculty employed part-time)

Faculty Headcount = Number of faculty teaching courses

Student Credit Hr = Total student credit hours taught (measure of teaching load)

Credit Hr/Faculty = Average credit hours per faculty member

Student Headcount = Total number of students enrolled in courses taught

Student Headcount/Faculty = Average number of students taught per faculty member

Sections Taught = Number of course sections offered

% Credit Hr by FT Faculty / PT Faculty = Percentage of total student credit hours delivered by full-time vs. part-time faculty",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
