School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
TOTAL (Ed & Prof. Studies),72,11021,153,3972,55,257,125,5994,48,2527,20,191,64.8%,35.2%
Biology,16,3681,230,1265,79,81,16,831,52,495,31,25,81.6%,18.4%
Biomolecular Sciences,9,2140,238,853,95,34,10,472,47,363,36,21,81.9%,18.1%
Chemistry & Biochemistry,8,1874,234,710,89,33,10,543,54,401,40,20,77.5%,22.5%
Computer Electronics & Graphics Technology,9,1169,130,397,44,26,10,1138,114,398,40,22,50.7%,49.3%
Computer Science,8,1941,243,647,81,40,6,816,136,272,45,13,70.4%,29.6%
Engineering,19,3430,181,1311,69,78,19,1646,87,584,31,32,67.6%,32.4%
Geological Sciences,7,1202,172,391,56,22,6,608,101,278,46,10,66.4%,33.6%
Manufacturing & Construction Management,13,2055,158,682,52,54,19,1267,67,437,23,25,61.9%,38.1%
Mathematical Sciences,29,5549,191,1593,55,100,60,7843,131,2615,44,106,41.4%,58.6%
Physics & Engineering Physics,5,817,163,224,45,20,17,655,39,170,10,13,55.5%,44.5%
Technology & Engineering Education,4,372,93,132,33,14,6,296,49,84,14,10,55.7%,44.3%
"TOTAL (Eng, Sci & Tech)",127,24230,191,8205,65,502,179,16115,90,6097,34,297,60.1%,39.9%
No School TOTAL,0,0,,0,,0,1,345,345,175,175,23,0.0%,100.0%
UNIVERSITY TOTAL,424,82203,194,27831,66,1629,541,48308,89,17622,33,940,63.0%,37.0%
,,,,,,,,,,,,,,
,"Overview:
The Fall 2019 Excel file provides Central Connecticut State University’s Faculty & Student Credit Hour, Student Headcount Report. It details faculty teaching activity, student enrollment, credit hours, and sections taught across departments, distinguishing between full-time (FT) and part-time (PT) faculty. The report also highlights the proportion of student credit hours taught by each group, giving insight into instructional reliance on FT versus PT instructors.

Abbreviations Explained:

FT = Full-Time (faculty employed full-time)

PT = Part-Time (faculty employed part-time)

Faculty Headcount = Total number of faculty teaching courses

Student Credit Hr = Total student credit hours taught (measure of instructional activity)

Credit Hr/Faculty = Average credit hours per faculty member

Student Headcount = Total number of students enrolled in courses taught

Student Headcount/Faculty = Average number of students per faculty member

Sections Taught = Number of course sections offered

% Credit Hr by FT Faculty / PT Faculty = Share of credit hours taught by full-time vs. part-time faculty",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
