School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
Manufacturing & Construction Management,12,1380,115,457,38,39,17,1439,85,496,29,28,49.0%,51.0%
Mathematical Sciences,27,4882,181,1440,53,97,39,4363,112,1449,37,65,52.8%,47.2%
Physics & Engineering Physics,5,625,125,257,51,22,15,521,35,350,23,21,54.5%,45.5%
Technology & Engineering Education,4,392,98,121,30,13,6,307,51,98,16,11,56.1%,43.9%
"TOTAL (Eng, Sci & Tech)",123,19413,158,6647,54,457,148,11219,76,4514,31,242,63.4%,36.6%
No School TOTAL,0,0,,0,,0,0,167,,104,,13,0.0%,100.0%
UNIVERSITY TOTAL,374,67688,181,22657,61,1385,437,33122,76,12562,29,742,67.1%,32.9%
,,,,,,,,,,,,,,
,"Overview:
The Spring 2023 Excel file contains Central Connecticut State University’s Faculty & Student Credit Hour, Student Headcount Report. It summarizes faculty instructional activity, student enrollments, and sections taught across departments, divided between full-time (FT) and part-time (PT) faculty. The report also includes the percentage of student credit hours taught by each group, highlighting the distribution of teaching responsibilities across colleges.

Abbreviations Explained:

FT = Full-Time (faculty employed full-time)

PT = Part-Time (faculty employed part-time)

Faculty Headcount = Number of faculty teaching courses

Student Credit Hr = Total student credit hours taught (measure of workload)

Credit Hr/Faculty = Average student credit hours per faculty member

Student Headcount = Number of students enrolled in faculty-taught courses

Student Headcount/Faculty = Average number of students per faculty member

Sections Taught = Number of course sections delivered

% Credit Hr by FT Faculty / PT Faculty = Percentage of total student credit hours taught by full-time versus part-time faculty",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
