School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
Social Work,6,693,116,231,39,17,6,285,48,95,16,7,70.9%,29.1%
Special Education & Interventions,6,797,133,271,45,22,14,312,22,100,7,14,71.9%,28.1%
TOTAL (Ed & Prof. Studies),62,8704,140,3005,48,204,114,5784,51,2714,24,191,60.1%,39.9%
Biology,19,3369,177,1368,72,62,22,990,45,511,23,20,77.3%,22.7%
Biomolecular Sciences,9,1909,212,825,92,35,6,313,52,170,28,9,85.9%,14.1%
Chemistry & Biochemistry,10,1525,153,631,63,35,6,451,75,275,46,12,77.2%,22.8%
Computer Electronics & Graphics Technology,7,870,124,290,41,26,14,1302,93,446,32,28,40.1%,59.9%
Computer Science,10,2458,246,820,82,39,5,432,86,144,29,8,85.1%,14.9%
Earth & Space Sciences,6,820,137,319,53,23,6,738,123,345,58,13,52.6%,47.4%
Engineering,18,2550,142,949,53,72,18,1602,89,603,34,32,61.4%,38.6%
Manufacturing & Construction Management,14,1947,139,646,46,48,15,1139,76,368,25,21,63.1%,36.9%
Mathematical Sciences,26,5049,194,1442,55,91,43,5751,134,1911,44,80,46.8%,53.3%
Physics & Engineering Physics,5,865,173,260,52,17,13,395,30,381,29,24,68.7%,31.3%
Technology & Engineering Education,3,216,72,72,24,7,5,200,40,64,13,5,51.9%,48.1%
"TOTAL (Eng, Sci & Tech)",127,21578,170,7622,60,455,153,13313,87,5218,34,252,61.8%,38.2%
No School TOTAL,0,0,,0,,0,2,880,440,429,215,28,0.0%,100.0%
UNIVERSITY TOTAL,392,73372,187,25114,64,1402,458,41087,90,15539,34,812,64.1%,35.9%
,,,,,,,,,,,,,,
,"Overview:
The Fall 2023 Excel file provides Central Connecticut State University’s Faculty & Student Credit Hour, Student Headcount Report. It presents detailed department-level teaching loads, student credit hours, course sections, and enrollment patterns, split between full-time (FT) and part-time (PT) faculty. The report also shows the share of credit hours taught by each group, giving insight into faculty instructional contributions across the university.

Abbreviations Explained:

FT = Full-Time (faculty employed full-time)

PT = Part-Time (faculty employed part-time)

Faculty Headcount = Number of faculty members teaching courses

Student Credit Hr = Total student credit hours taught (measure of instructional workload)

Credit Hr/Faculty = Average number of credit hours taught per faculty member

Student Headcount = Number of students enrolled in courses taught

Student Headcount/Faculty = Average number of students per faculty member

Sections Taught = Number of course sections offered

% Credit Hr by FT Faculty / PT Faculty = Percentage of credit hours taught by full-time versus part-time faculty",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
