School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
Social Work,5,975,195,325,65,18,6,333,55.5,111,18.5,7,74.5%,25.5%
Special Education & Interventions,8,864,108,297,37.1,25,13,609,46.8,176,13.5,26,58.7%,41.3%
TOTAL (Ed & Prof. Studies),73,10747.5,147.2,3866,53,264,125,5532,44.3,2435,19.5,182,66.0%,34.0%
Biology,16,3086,192.9,1056,66,69,15,684,45.6,476,31.7,24,81.9%,18.1%
Biomolecular Sciences,9,1765.5,196.2,683,75.9,36,9,397,44.1,292,32.4,15,81.6%,18.4%
Chemistry & Biochemistry,8,1477,184.6,639,79.9,37,10,1171,117.1,537,53.7,17,55.8%,44.2%
Computer Electronics & Graphics Technology,8,1035,129.4,355,44.4,26,10,1094,109.4,380,38,20,48.6%,51.4%
Computer Science,9,1880,208.9,627,69.7,48,6,726,121,242,40.3,13,72.1%,27.9%
Engineering,17,3206,188.6,1215,71.5,77,20,1520,76,554,27.7,31,67.8%,32.2%
Geological Sciences,7,1126,160.9,379,54.1,27,6,538,89.7,238,39.7,10,67.7%,32.3%
Manufacturing & Construction Management,13,1653,127.2,551,42.4,53,25,1643,65.7,557,22.3,35,50.2%,49.8%
Mathematical Sciences,29,5067,174.7,1469,50.7,103,48,5234,109,1728,36,76,49.2%,50.8%
Physics & Engineering Physics,5,645,129,203,40.6,17,16,855,53.4,214,13.4,14,43.0%,57.0%
Technology & Engineering Education,4,409,102.3,134,33.5,11,6,295,49.2,96,16,11,58.1%,41.9%
"TOTAL (Eng, Sci & Tech)",125,21349.5,170.8,7311,58.5,504,171,14157,82.8,5314,31.1,266,60.1%,39.9%
No School TOTAL,0,0,,0,,0,1,430,430,230,230,25,0.0%,100.0%
UNIVERSITY TOTAL,422,76888.5,182.2,25995,61.6,1683,504,40989,81.3,15024,29.8,847,65.2%,34.8%
,,,,,,,,,,,,,,
,"Overview:
The Spring 2020 Excel file contains Central Connecticut State University’s Faculty & Student Credit Hour, Student Headcount Report. It provides a department-level breakdown of faculty headcounts, student enrollments, course sections, and credit hours taught, distinguishing between full-time (FT) and part-time (PT) faculty. The file also includes the percentage of student credit hours taught by each group, allowing comparisons of instructional contributions.

Abbreviations Explained:

FT = Full-Time (faculty employed full-time)

PT = Part-Time (faculty employed part-time)

Faculty Headcount = Number of faculty members teaching courses

Student Credit Hr = Total student credit hours taught (workload measure)

Credit Hr/Faculty = Average credit hours per faculty member

Student Headcount = Number of students enrolled in faculty-taught courses

Student Headcount/Faculty = Average number of students per faculty member

Sections Taught = Number of course sections delivered

% Credit Hr by FT Faculty / PT Faculty = Proportion of total credit hours taught by full-time versus part-time faculty",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
