School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
TOTAL (Health & Rehab Sciences),49,7945,162,2708,55,159,80,2612,33,1493,19,107,75.3%,24.7%
Biology,13,2518,194,1048,81,50,11,735,67,395,36,17,77.4%,22.6%
Biomolecular Sciences,9,1773,197,754,84,30,7,529,76,234,33,9,77.0%,23.0%
Chemistry & Biochemistry,10,1827,183,745,75,29,8,357,45,273,34,13,83.7%,16.3%
Computer Electronics & Graphics Technology,7,770,110,259,37,25,17,1431,84,498,29,31,35.0%,65.0%
Computer Science,9,2195,244,735,82,38,7,798,114,266,38,13,73.3%,26.7%
Earth & Space Sciences,6,1140,190,434,72,21,5,395,79,227,45,11,74.3%,25.7%
Engineering,17,2473,145,945,56,59,22,1765,80,641,29,35,58.4%,41.6%
Manufacturing & Construction Management,11,1905,173,615,56,51,20,1406,70,467,23,29,57.5%,42.5%
Mathematical Sciences,27,5035,186,1452,54,97,44,6732,153,2238,51,87,42.8%,57.2%
Physics & Engineering Physics,5,849,170,247,49,14,12,542,45,464,39,24,61.0%,39.0%
Technology & Engineering Education,4,447,112,180,45,21,4,130,33,43,11,8,77.5%,22.5%
"TOTAL (Eng, Sci & Tech)",118,20932,177,7414,63,435,157,14820,94,5746,37,277,58.5%,41.5%
No School TOTAL,0,0,,0,,0,2,992,496,475,238,29,0.0%,100.0%
UNIVERSITY TOTAL,389,74582,192,25587,66,1447,479,43529,91,16289,34,852,63.1%,36.9%
,,,,,,,,,,,,,,
,"Overview:
The Fall 2024 Excel file presents Central Connecticut State University’s Faculty & Student Credit Hour, Student Headcount Report. It provides a detailed breakdown of faculty headcounts, student enrollments, course sections, and student credit hours by department, separated between full-time (FT) and part-time (PT) faculty. The report also shows the proportion of credit hours taught by each group, offering insight into how instructional responsibilities are divided across the university.

Abbreviations Explained:

FT = Full-Time (faculty employed full-time)

PT = Part-Time (faculty employed part-time)

Faculty Headcount = Total number of faculty teaching courses

Student Credit Hr = Total number of student credit hours taught (measure of workload)

Credit Hr/Faculty = Average student credit hours taught per faculty member

Student Headcount = Number of students enrolled in faculty-taught courses

Student Headcount/Faculty = Average number of students per faculty member

Sections Taught = Total number of course sections delivered

% Credit Hr by FT Faculty / PT Faculty = Percentage of credit hours taught by full-time vs. part-time faculty",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
