School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
Counselor Education & Family Therapy,11,1251,114,400,36,39,20,1152,58,377,19,33,52.1%,47.9%
Educational Leadership & Instructional Tech.,10,1028,103,442,44,41,12,559,47,201,17,13,64.8%,35.2%
Nursing,9,1707,190,608,68,34,1,129,129,231,231,28,93.0%,7.0%
Physical Edu. & Human Performance,17,3330,196,1317,77,80,15,1464,98,739,49,34,69.5%,30.5%
Reading & Language Arts,7,1135,162,356,51,28,0,0,,0,,0,100.0%,0.0%
Social Work,4,816,204,272,68,13,8,846,106,282,35,12,49.1%,50.9%
Special Education,6,1037,173,375,63,34,4,78,20,26,7,5,93.0%,7.0%
Teacher Education,12,1565,130,513,43,37,20,764,38,247,12,29,67.2%,32.8%
TOTALS (Ed & Prof. Studies),76,11869,156,4283,56,306,80,4992,62,2103,26,154,70.4%,29.6%
Biology,14,3287,235,1163,83,83,9,1107,123,455,51,16,74.8%,25.2%
Biomolecular Sciences,9,1731,192,675,75,36,4,401,100,155,39,6,81.2%,18.8%
Chemistry & Biochemistry,9,2091,232,856,95,54,8,1145,143,595,74,22,64.6%,35.4%
Computer Electronics & Graphics Technology,8,1023,128,361,45,25,8,717,90,239,30,13,58.8%,41.2%
Computer Science,9,1727,192,578,64,37,7,741,106,247,35,12,70.0%,30.0%
Engineering,19,3562,187,1309,69,103,12,1011,84,368,31,21,77.9%,22.1%
Geological Sciences,7,1699,243,569,81,32,8,498,62,217,27,10,77.3%,22.7%
Manufacturing & Construction Management,13,1923,148,657,51,51,17,1430,84,472,28,26,57.4%,42.6%
Mathematical Sciences,31,6990,225,2019,65,126,58,5974,103,2002,35,85,53.9%,46.1%
Physics & Engineering Physics,5,1356,271,390,78,32,13,600,46,152,12,9,69.3%,30.7%
Technology & Engineering Education,5,620,124,180,36,23,0,205,,70,,6,75.2%,24.8%
"TOTALS (Eng, Sci & Tech)",129,26009,202,8757,68,602,144,13829,96,4972,35,226,65.3%,34.7%
No School TOTALS,0,0,,0,,0,0,671,,201,,31,0.0%,100.0%
UNIVERSITY TOTAL,436,87499,201,29719,68,1904,440,42140,96,14983,34,788,67.5%,32.5%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Overview:
The Spring 2015 Excel file summarizes the Faculty & Student Credit Hour, Student Headcount Report for Central Connecticut State University. It details the teaching load, student enrollment, and course sections taught across departments, separating data by full-time (FT) and part-time (PT) faculty. It also shows the percentage of credit hours delivered by each group, highlighting instructional balance across colleges.

Abbreviations Explained:

FT = Full-Time (faculty employed full-time)

PT = Part-Time (faculty employed part-time)

Faculty Headcount = Number of faculty members teaching courses

Student Credit Hr = Total student credit hours taught (indicator of instructional activity)

Credit Hr/Faculty = Average credit hours taught per faculty member

Student Headcount = Number of students enrolled in courses taught

Student Headcount/Faculty = Average number of students taught per faculty member

Sections Taught = Number of course sections delivered

% Credit Hr by FT Faculty / PT Faculty = Proportion of student credit hours taught by full-time vs. part-time faculty",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
