School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
Nursing,9,1446,161,525,58,33,18,120,7,210,12,25,92.3%,7.7%
Physical Edu. & Human Performance,17,3366,198,1384,81,85,23,1192,52,531,23,38,73.8%,26.2%
Social Work,4,632,158,211,53,13,11,1038,94,346,31,17,37.8%,62.2%
Special Education & Interventions,8,1086,136,362,45,29,6,258,43,76,13,10,80.8%,19.2%
TOTAL (Ed & Prof. Studies),74,11054,149,3972,54,286,110,5109,46,2129,19,170,68.4%,31.6%
Biology,14,4401,314,1440,103,97,8,297,37,273,34,12,93.7%,6.3%
Biomolecular Sciences,9,1615,179,664,74,40,5,323,65,144,29,6,83.3%,16.7%
Chemistry & Biochemistry,8,2198,275,908,114,39,8,1171,146,595,74,21,65.2%,34.8%
Computer Electronics & Graphics Technology,8,1130,141,400,50,37,8,615,77,205,26,12,64.8%,35.2%
Computer Science,9,2104,234,703,78,52,3,234,78,78,26,4,90.0%,10.0%
Engineering,18,3601,200,1401,78,79,14,1200,86,415,30,19,75.0%,25.0%
Geological Sciences,6,1239,207,415,69,27,6,334,56,174,29,8,78.8%,21.2%
Manufacturing & Construction Management,13,2079,160,693,53,56,18,1432,80,482,27,25,59.2%,40.8%
Mathematical Sciences,31,6995,226,2071,67,133,47,4647,99,1518,32,63,60.1%,39.9%
Physics & Engineering Physics,5,1073,215,311,62,24,14,626,45,159,11,12,63.2%,36.8%
Technology & Engineering Education,4,609,152,186,47,17,3,217,72,60,20,7,73.7%,26.3%
"TOTAL (Eng, Sci & Tech)",125,27044,216,9192,74,601,134,11096,83,4103,31,189,70.9%,29.1%
No School TOTAL,0,0,,0,,0,0,387,,178,,25,0.0%,100.0%
UNIVERSITY TOTAL,429,88497,206,29966,70,1875,453,37901,84,13602,30,739,70.0%,30.0%
,,,,,,,,,,,,,,
,,,"Overview:
The Spring 2017 Excel file presents Central Connecticut State University’s Faculty & Student Credit Hour, Student Headcount Report. It captures faculty teaching loads, student credit hours, student headcounts, and sections taught across departments, with clear separation between full-time (FT) and part-time (PT) faculty. The file also provides percentages showing the distribution of credit hours taught by each group, allowing for analysis of instructional balance.

Abbreviations Explained:

FT = Full-Time (faculty employed full-time)

PT = Part-Time (faculty employed part-time)

Faculty Headcount = Number of faculty teaching courses

Student Credit Hr = Total student credit hours taught (measure of teaching workload)

Credit Hr/Faculty = Average student credit hours taught per faculty member

Student Headcount = Total number of students enrolled in faculty-taught courses

Student Headcount/Faculty = Average number of students taught per faculty member

Sections Taught = Number of course sections offered

% Credit Hr by FT Faculty / PT Faculty = Share of total student credit hours delivered by full-time vs. part-time faculty",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
