,,,,,,Term,Fall 2020,Fall 2021,Fall 2022,Fall 2023,Fall 2024,Description,,,,,,,,,,,,,,,
Arts & Social Sciences,Communication,Media Studies,Media Analysis,BA,18099,090102,12,16,16,14,9,,,,,,,,,,,,,,,,
Arts & Social Sciences,Communication,Media Studies,Multimedia Prodctn & New Techn,BA,18099,090102,31,19,20,15,16,,,,,,,,,,,,,,,,
Arts & Social Sciences,Communication,Public Relations/Promotions,,OCP,14632,090902,,,1,1,,,,,,,,,,,,,,,,,
Arts & Social Sciences,Communication,Strategic Communication,,BA,18107,090900,17,21,3,5,14,,,,,,,,,,,,,,,,
Arts & Social Sciences,Communication,Strategic Communication,,MS,02522,090901,31,22,18,23,22,,,,,,,,,,,,,,,,
Arts & Social Sciences,Communication,Strategic Communication,Organizational Communication,BA,18107,090900,55,41,58,42,33,,,,,,,,,,,,,,,,
Arts & Social Sciences,Communication,Strategic Communication,Public Relations/Promotions,BA,18107,090900,69,73,82,75,67,,,,,,,,,,,,,,,,
Arts & Social Sciences,Criminology & Criminal Justice,Advanced Detective Certificate,,OCP,19979,430114,,5,10,5,5,,,,,,,,,,,,,,,,
Arts & Social Sciences,Criminology & Criminal Justice,Criminal Justice,,MS,02965,430104,25,26,40,30,31,,,,,,,,,,,,,,,,
Arts & Social Sciences,Criminology & Criminal Justice,Criminal Justice Administration,,MA,22064,430103,,,,,8,,,,,,,,,,,,,,,,
Arts & Social Sciences,Criminology & Criminal Justice,Criminal Justice Leadership,,OCP,22209,430103,,,,,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,Criminology & Criminal Justice,Criminology,,BA,03127,450401,563,487,444,429,443,,,,,,,,,,,,,,,,
Arts & Social Sciences,Criminology & Criminal Justice,Detective Certificate,,C1,19982,430114,,5,1,3,2,,,,,,,,,,,,,,,,
Arts & Social Sciences,Criminology & Criminal Justice,Victim Advocacy,,OCP,22229,440201,,,,,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,Economics,Economics,,BA,00104,450601,88,82,79,56,49,,,,,,,,,,,,,,,,
Arts & Social Sciences,Economics,Economics,General Economics,BA,00104,450601,2,,1,1,,,,,,,,,,,,,,,,,
Arts & Social Sciences,Economics,Economics,Mathematics,BA,00104,450601,,,1,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,English,Applied Linguistics,,MA,00070,131401,,1,1,1,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,English,Applied Linguistics,Language Policy & Planning,MA,00070,131401,,1,3,2,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,English,Applied Linguistics,Tesol,MA,00070,131401,21,17,12,13,7,,,,,,,,,,,,,,,,
Arts & Social Sciences,English,English,,BA,00079,230101,98,82,96,83,83,,,,,,,,,,,,,,,,
Arts & Social Sciences,English,English,,BS-Teach,00079,230101,59,49,40,53,46,,,,,,,,,,,,,,,,
Arts & Social Sciences,English,English,,GRADCERT,10605,230101,2,4,5,2,5,,,,,,,,,,,,,,,,
Arts & Social Sciences,English,English,,MA,00080,230101,7,1,2,1,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,English,English,English,BS-Teach,00079,230101,2,,,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,English,English,Literary Studies Track,MA,00080,230101,9,6,5,9,5,,,,,,,,,,,,,,,,
Arts & Social Sciences,English,English,Track for Teachers,MA,00080,230101,3,4,8,7,12,,,,,,,,,,,,,,,,
Arts & Social Sciences,English,Teaching English to Speakers of Other Languages,,GRADCERT,10609,131401,16,13,11,14,21,,,,,,,,,,,,,,,,
Arts & Social Sciences,English,Teaching English to Speakers of Other Languages,,OCP,15703,131401,4,3,2,2,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,"Geography, Anthropology, & Tourism",Anthropology,,BA,00103,450201,34,27,22,21,19,,,,,,,,,,,,,,,,
Arts & Social Sciences,"Geography, Anthropology, & Tourism",Geography,,BA,00105,450701,5,1,1,1,,,,,,,,,,,,,,,,,
Arts & Social Sciences,"Geography, Anthropology, & Tourism",Geography,,MS,00106,450701,12,8,5,4,8,,,,,,,,,,,,,,,,
Arts & Social Sciences,"Geography, Anthropology, & Tourism",Geography,Envirnmntl Geog & Sustnblty,BA,00105,450701,1,4,6,9,7,,,,,,,,,,,,,,,,
Arts & Social Sciences,"Geography, Anthropology, & Tourism",Geography,Environmental Geography,BA,00105,450701,2,,1,1,2,,,,,,,,,,,,,,,,
Arts & Social Sciences,"Geography, Anthropology, & Tourism",Geography,General Regional Geography,BA,00105,450701,3,3,3,2,4,,,,,,,,,,,,,,,,
Arts & Social Sciences,"Geography, Anthropology, & Tourism",Geography,Geographic Information Science,BA,00105,450701,9,8,7,7,8,,,,,,,,,,,,,,,,
Arts & Social Sciences,"Geography, Anthropology, & Tourism",Geography,Geography - Planning,BA,00105,450701,7,6,2,5,5,,,,,,,,,,,,,,,,
Arts & Social Sciences,"Geography, Anthropology, & Tourism",Geography,Global Sustainability,MS,00106,450701,5,2,3,2,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,"Geography, Anthropology, & Tourism",Geography,Tourism,BA,00105,450701,1,2,1,3,2,,,,,,,,,,,,,,,,
Arts & Social Sciences,"Geography, Anthropology, & Tourism",Tourism & Hospitality Studies,,BS,04091,520901,45,43,31,24,27,,,,,,,,,,,,,,,,
Arts & Social Sciences,History,History,,BA,00107,540101,81,79,81,64,60,,,,,,,,,,,,,,,,
Arts & Social Sciences,History,History,,BS-Teach,00107,540101,87,75,86,89,91,,,,,,,,,,,,,,,,
Arts & Social Sciences,History,History,,GRADCERT,10172,540101,4,7,7,8,10,,,,,,,,,,,,,,,,
Arts & Social Sciences,History,History,,MA,00108,540101,9,10,9,16,10,,,,,,,,,,,,,,,,
Arts & Social Sciences,History,History,Teacher Education,BS-Teach,00107,540101,,,,1,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,History,Public History,,MA,09702,540105,16,19,18,17,19,,,,,,,,,,,,,,,,
Arts & Social Sciences,Journalism,Journalism,,BA,15031,090401,37,26,10,6,7,,,,,,,,,,,,,,,,
Arts & Social Sciences,Journalism,Journalism,Broadcast Sequence,BA,15031,090401,8,11,15,14,6,,,,,,,,,,,,,,,,
Arts & Social Sciences,Journalism,Journalism,Print/Digital Sequence,BA,15031,090401,10,8,11,12,9,,,,,,,,,,,,,,,,
Arts & Social Sciences,Journalism,Journalism,Sports Sequence,BA,15031,090401,11,13,13,16,20,,,,,,,,,,,,,,,,
Arts & Social Sciences,Music,Music,,BA,02608,500901,1,3,1,,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,Music,Music,Flexible Music,BA,02608,500901,,,,2,3,,,,,,,,,,,,,,,,
Arts & Social Sciences,Music,Music,General Studies,BA,02608,500901,,,4,3,2,,,,,,,,,,,,,,,,
Arts & Social Sciences,Music,Music,Jazz Studies,BA,02608,500901,1,,1,3,3,,,,,,,,,,,,,,,,
Arts & Social Sciences,Music,Music,Music Technology,BA,02608,500901,,,,,6,,,,,,,,,,,,,,,,
Arts & Social Sciences,Music,Music,Performance,BA,02608,500901,6,6,4,4,3,,,,,,,,,,,,,,,,
Arts & Social Sciences,Music,Music,Theory & Composition,BA,02608,500901,3,3,4,4,3,,,,,,,,,,,,,,,,
Arts & Social Sciences,Music,Music Education,,BS-Teach,00062,131312,38,29,24,24,26,,,,,,,,,,,,,,,,
Arts & Social Sciences,Music,Music Education,,GRADCERT,10174,131312,2,3,3,2,2,,,,,,,,,,,,,,,,
Arts & Social Sciences,Music,Music Education,,MS,00063,131312,5,4,2,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,Music,Music Education,,Post-Master's Study,88888,,1,1,,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,Philosophy,Philosophy,,BA,00088,380101,13,11,8,9,7,,,,,,,,,,,,,,,,
Arts & Social Sciences,Philosophy,Philosophy,Philosophy -  General,BA,00088,380101,,,,1,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,Philosophy,Philosophy,"Social Justice, Ethics, & Law",BA,00088,380101,,,,1,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,Political Science,Political Science,,BA,00109,451001,34,30,17,15,13,,,,,,,,,,,,,,,,
Arts & Social Sciences,Political Science,Political Science,Political Science: General,BA,00109,451001,33,26,33,33,37,,,,,,,,,,,,,,,,
Arts & Social Sciences,Political Science,Political Science,PS-Legal Studies,BA,00109,451001,31,34,34,39,38,,,,,,,,,,,,,,,,
Arts & Social Sciences,Political Science,Political Science,Public Administration,BA,00109,451001,6,8,6,2,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,Political Science,Political Science,Public Policy and Management,BA,00109,451001,,,,3,5,,,,,,,,,,,,,,,,
Arts & Social Sciences,Psychological Science,Gerontology,,C1,20603,190702,,,,1,,,,,,,,,,,,,,,,,
Arts & Social Sciences,Psychological Science,Gerontology,,OCP,18714,190702,8,3,1,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,Psychological Science,Psychological Science,,BA,00098,420101,595,561,545,515,507,,,,,,,,,,,,,,,,
Arts & Social Sciences,Psychological Science,Psychological Science,Clinical Professional Counslng,BA,00098,420101,1,1,,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,Psychological Science,Psychological Science,Community Psychology,BA,00098,420101,,,,,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,Psychological Science,Psychological Science,Management Information Systems,BA,00098,420101,,1,1,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,Psychological Science,Psychology,Community Psychology,MA,00099,420101,8,5,3,5,3,,,,,,,,,,,,,,,,
Arts & Social Sciences,Psychological Science,Psychology,General Psychology,MA,00099,420101,14,17,19,26,27,,,,,,,,,,,,,,,,
Arts & Social Sciences,Psychological Science,Psychology,Health Psychology,MA,00099,420101,22,29,19,18,21,,,,,,,,,,,,,,,,
Arts & Social Sciences,Sociology,Sociology,,BA,00110,451101,96,81,76,82,83,,,,,,,,,,,,,,,,
Arts & Social Sciences,Theatre,Theatre,,BA,00111,500501,25,20,22,19,12,,,,,,,,,,,,,,,,
Arts & Social Sciences,Theatre,Theatre,,BFA,00111,500501,,,,1,,,,,,,,,,,,,,,,,
Arts & Social Sciences,Theatre,Theatre,Performance,BA,00111,500501,,1,,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,Theatre,Theatre,Performance,BFA,00111,500501,13,10,9,14,19,,,,,,,,,,,,,,,,
Arts & Social Sciences,Theatre,Theatre,"Technology, Design & Productn",BFA,00111,500501,10,13,7,6,8,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",French,,BA,00073,160901,1,1,1,3,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",French,,BS-Teach,00073,160901,1,,,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",French,Print/Digital Sequence,BS-Teach,00073,160901,,,1,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures","French, German, Italian & Spanish",,GRADCERT,10171,131306,3,7,10,7,11,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",German,,BA,00072,160501,1,1,,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Italian,,BA,00075,160902,2,2,1,2,2,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Italian,,BS-Teach,00075,160902,2,1,1,1,,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Modern Languages,,MA,00074,160101,,,1,3,13,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Modern Languages,,MA,18263,160101,23,24,12,13,,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Modern Languages,Hispano N.A. Univ: Span L&C,MA,00074,160101,,,,,2,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Modern Languages,Hispano N.A. Univ:Span L&C,MA,00074,160101,15,10,6,3,,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Modern Languages,Ital.or Span. for Cert. Tchers,MA,00074,160101,4,1,,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Modern Languages,Italian,MA,00074,160101,2,1,1,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Modern Languages,Spanish,MA,00074,160101,2,1,2,,5,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Modern Languages,Spanish (Online),MA,00074,160101,,1,4,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Spanish,,BA,00076,160905,15,10,5,3,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Spanish,,BS-Teach,00076,160905,8,13,17,15,14,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Spanish,Inter-University Spanish Lang,BA,00076,160905,2,3,3,4,5,,,,,,,,,,,,,,,,
Arts & Social Sciences,"World Languages, Literatures, & Cultures",Spanish,Inter-University Spanish Lang,BS-Teach,00076,160905,1,1,,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,~No Dept/Shared,General Studies,,BGS,20405,240102,,,17,33,42,,,,,,,,,,,,,,,,
Arts & Social Sciences,~No Dept/Shared,International Studies,,BA,02693,302001,2,3,,1,,,,,,,,,,,,,,,,,
Arts & Social Sciences,~No Dept/Shared,International Studies,,MS,00035,302001,13,12,12,12,16,,,,,,,,,,,,,,,,
Arts & Social Sciences,~No Dept/Shared,International Studies,African Studies,BA,02693,302001,2,2,2,1,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,~No Dept/Shared,International Studies,East Asian Studies,BA,02693,302001,13,8,2,4,2,,,,,,,,,,,,,,,,
Arts & Social Sciences,~No Dept/Shared,International Studies,European Studies,BA,02693,302001,4,4,2,2,3,,,,,,,,,,,,,,,,
Arts & Social Sciences,~No Dept/Shared,International Studies,Global Studies,BA,02693,302001,9,9,7,8,14,,,,,,,,,,,,,,,,
Arts & Social Sciences,~No Dept/Shared,International Studies,Latin American Studies,BA,02693,302001,2,2,3,3,3,,,,,,,,,,,,,,,,
Arts & Social Sciences,~No Dept/Shared,International Studies,Middle East Studies,BA,02693,302001,2,1,,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,~No Dept/Shared,Racial Justice,,C1,20623,302301,,,,2,,,,,,,,,,,,,,,,,
Arts & Social Sciences,~No Dept/Shared,Special Studies,,BA,00087,309999,1,,1,2,1,,,,,,,,,,,,,,,,
Arts & Social Sciences,~No Dept/Shared,Undecided (Arts & Sciences),,BA,88888,,33,31,31,33,37,,,,,,,,,,,,,,,,
Arts & Social Sciences,Total,Total,Total,Total,Total,Total,2970,2691,2620,2540,2525,,,,,,,,,,,,,,,,
Business,Accounting,Accounting,,BS,00036,520301,378,314,301,279,260,,,,,,,,,,,,,,,,
Business,Accounting,Accounting,,MS,18549,520301,25,6,4,7,6,,,,,,,,,,,,,,,,
Business,Accounting,Accounting,,OCP,19351,520301,2,,,1,,,,,,,,,,,,,,,,,
Business,Accounting,Accounting,Business Analytics,BS,00036,520301,1,,,,,,,,,,,,,,,,,,,,
Business,Accounting,Accounting,Business Analytics,MS,18549,520301,21,27,15,1,,,,,,,,,,,,,,,,,
Business,Accounting,Accounting,General-Accounting,MS,18549,520301,36,49,40,59,52,,,,,,,,,,,,,,,,
Business,Accounting,Accounting Analytics,,OCP,20602,307199,,,,1,,,,,,,,,,,,,,,,,
Business,Business (Joint Program),Business,,BS,21384,520101,,,,74,193,,,,,,,,,,,,,,,,
Business,Business (Joint Program),Business,General Program,BS,21384,520101,,,,,1,,,,,,,,,,,,,,,,
Business,Business Analytics (Joint Program),Business Analytics,,BS,21711,307102,,,,1,50,,,,,,,,,,,,,,,,
Business,Business Analytics (Joint Program),Business Analytics,,OCP,22039,307102,,,,,2,,,,,,,,,,,,,,,,
Business,Business Leadership (Joint Program),Business Leadership,,OCP,19978,520213,11,13,17,2,6,,,,,,,,,,,,,,,,
Business,Finance,Commercial Lending,,OCP,20237,520809,,,2,,1,,,,,,,,,,,,,,,,
Business,Finance,Finance,,BS,02650,520801,245,256,183,166,138,,,,,,,,,,,,,,,,
Business,Finance,Finance,General Finance,BS,02650,520801,21,24,74,97,123,,,,,,,,,,,,,,,,
Business,Finance,Finance,Personal Financial Planning,BS,02650,520801,7,7,10,14,16,,,,,,,,,,,,,,,,
Business,Management & Organization,Management,,BS,00037,520201,95,116,102,92,68,,,,,,,,,,,,,,,,
Business,Management & Organization,Management,Entrepreneurship,BS,00037,520201,42,41,55,61,42,,,,,,,,,,,,,,,,
Business,Management & Organization,Management,General Management,BS,00037,520201,210,153,129,117,94,,,,,,,,,,,,,,,,
Business,Management & Organization,Management,Human Resources,BS,00037,520201,42,27,29,25,32,,,,,,,,,,,,,,,,
Business,Management & Organization,Management,International Business,BS,00037,520201,1,1,,1,1,,,,,,,,,,,,,,,,
Business,Management & Organization,Management,Small Business Mgt Entrpnrshp,BS,00037,520201,,,,,1,,,,,,,,,,,,,,,,
Business,Management Information Systems,Management Information Systems,,BS,02380,110401,67,37,65,81,93,,,,,,,,,,,,,,,,
Business,Management Information Systems,Management Information Systems,Business Analytics,BS,02380,110401,28,34,18,2,1,,,,,,,,,,,,,,,,
Business,Management Information Systems,Management Information Systems,Business Application Develpmnt,BS,02380,110401,1,5,2,2,1,,,,,,,,,,,,,,,,
Business,Management Information Systems,Management Information Systems,Enterps Resource Planning Syst,BS,02380,110401,7,8,2,1,,,,,,,,,,,,,,,,,
Business,Management Information Systems,Management Information Systems,General,BS,02380,110401,11,,,,,,,,,,,,,,,,,,,,
Business,Management Information Systems,Management Information Systems,Individualized,BS,02380,110401,,11,9,7,3,,,,,,,,,,,,,,,,
Business,Management Information Systems,Management Information Systems,Informtn Securty & Infrastrctr,BS,02380,110401,7,10,4,2,1,,,,,,,,,,,,,,,,
Business,Marketing,Marketing,,BS,00039,521401,273,258,268,281,258,,,,,,,,,,,,,,,,
Business,Marketing,Marketing,Informtn Securty & Infrastrctr,BS,00039,521401,1,1,,,,,,,,,,,,,,,,,,,
Business,Master of Business Administration,Master of Business Administration,,MBA,02816,520305,203,169,153,163,158,,,,,,,,,,,,,,,,
Business,Master of Business Administration,Supply Chain Analytics,,OCP,19446,521301,1,,,,,,,,,,,,,,,,,,,,
Business,~No Dept/Shared,General Studies,,BGS,20405,240102,,,6,8,10,,,,,,,,,,,,,,,,
Business,~No Dept/Shared,Undecided (Business),,BS,88888,,138,116,121,125,111,,,,,,,,,,,,,,,,
Business,Total,Total,Total,Total,Total,Total,1874,1683,1609,1670,1722,,,,,,,,,,,,,,,,
Education,Curriculum & Instruction,Teacher Education,English,MAT,14255,130101,2,,2,2,,,,,,,,,,,,,,,,,
Education,Curriculum & Instruction,Teacher Education,History/Social Studies (MAT),MAT,14255,130101,4,1,4,,,,,,,,,,,,,,,,,,
Education,Curriculum & Instruction,Teacher Education,Modern Language (MAT),MAT,14255,130101,,,1,1,,,,,,,,,,,,,,,,,
Education,Curriculum & Instruction,Teacher Education,Science,MAT,14255,130101,3,,4,3,,,,,,,,,,,,,,,,,
Education,Curriculum & Instruction,Teacher Education,Special Education K-12 (MAT),MAT,14255,130101,,,,,1,,,,,,,,,,,,,,,,
Education,Curriculum & Instruction,Teacher Education,Technology&Engineering Ed K-12,MAT,14255,130101,1,,,,,,,,,,,,,,,,,,,,
Education,Curriculum & Instruction,Teacher Leadership,,MS,05642,130401,28,35,26,22,15,,,,,,,,,,,,,,,,
Education,Educational Leadership & Instructional Technology,Educational Leadership,,SYC,02597,130401,214,215,224,220,169,,,,,,,,,,,,,,,,
Education,Educational Leadership & Instructional Technology,Educational Leadership,Higher Education Track - EDD,ED.D,09981,130401,13,8,15,12,23,,,,,,,,,,,,,,,,
Education,Educational Leadership & Instructional Technology,Educational Leadership,PreK-12 Track - EDD,ED.D,09981,130401,46,45,51,48,46,,,,,,,,,,,,,,,,
Education,Educational Leadership & Instructional Technology,Educational Technology,,MS,00045,130501,15,27,27,19,12,,,,,,,,,,,,,,,,
Education,Educational Leadership & Instructional Technology,"Superintendent of Schls, Advan",,PM CERT,14633,130411,15,15,13,10,9,,,,,,,,,,,,,,,,
Education,"Literacy, Elementary, & Early Childhood Education",Early Childhood and Infant/Toddler Mental Health,,BS,19028,131210,58,65,70,62,44,,,,,,,,,,,,,,,,
Education,"Literacy, Elementary, & Early Childhood Education",Elementary Education,,BS-Teach,00050,131202,300,262,251,242,234,,,,,,,,,,,,,,,,
Education,"Literacy, Elementary, & Early Childhood Education",Elementary Education,,GRADCERT,10181,131202,7,12,10,8,5,,,,,,,,,,,,,,,,
Education,"Literacy, Elementary, & Early Childhood Education",Elementary Education,,MS,00051,131202,,,,,12,,,,,,,,,,,,,,,,
Education,"Literacy, Elementary, & Early Childhood Education",Elementary Education,Biology (EL),BS-Teach,00050,131202,13,13,11,10,9,,,,,,,,,,,,,,,,
Education,"Literacy, Elementary, & Early Childhood Education",Elementary Education,Earth Science (EL),BS-Teach,00050,131202,7,12,14,11,8,,,,,,,,,,,,,,,,
Education,"Literacy, Elementary, & Early Childhood Education",Elementary Education,English,BS-Teach,00050,131202,1,1,,,,,,,,,,,,,,,,,,,
Education,"Literacy, Elementary, & Early Childhood Education",Elementary Education,General Regional Geography,BS-Teach,00050,131202,,,1,,,,,,,,,,,,,,,,,,
Education,"Literacy, Elementary, & Early Childhood Education",Elementary Education,Mathematics,BS-Teach,00050,131202,1,,,,,,,,,,,,,,,,,,,,
Education,"Literacy, Elementary, & Early Childhood Education",Reading and Language Arts,,MS,00066,131315,49,40,35,36,35,,,,,,,,,,,,,,,,
Education,"Literacy, Elementary, & Early Childhood Education",Reading and Language Arts,,PM CERT,10607,131315,4,3,1,2,1,,,,,,,,,,,,,,,,
Education,"Literacy, Elementary, & Early Childhood Education",Reading and Language Arts,,SYC,00067,131315,35,23,29,39,42,,,,,,,,,,,,,,,,
Education,Special Education & Interventions,Special Education,,BS-Teach,22324,131001,,,,,3,,,,,,,,,,,,,,,,
Education,Special Education & Interventions,Special Education,,GRADCERT,10180,131001,,1,,,,,,,,,,,,,,,,,,,
Education,Special Education & Interventions,Special Education,,MS,00048,131001,2,2,,,,,,,,,,,,,,,,,,,
Education,Special Education & Interventions,Special Education,For Special Education Teachers,MS,00048,131001,8,6,3,2,3,,,,,,,,,,,,,,,,
Education,Special Education & Interventions,Special Education,Inclusion & Transition (SPED),MS,00048,131001,6,9,5,3,3,,,,,,,,,,,,,,,,
Education,Special Education & Interventions,Special Education,Initial Certification,MS,00048,131001,,,,,99,,,,,,,,,,,,,,,,
Education,Special Education & Interventions,Special Education,Intl Crt or Tchr Sekng Crs End,MS,00048,131001,127,104,92,108,11,,,,,,,,,,,,,,,,
Education,Special Education & Interventions,Special Education,Tchrs Seeking Cross-Endorsemnt,MS,00048,131001,,,,,10,,,,,,,,,,,,,,,,
Education,Special Education & Interventions,Special Education,Techrs Seeking Cross-Endorsmnt,MS,00048,131001,3,2,,,,,,,,,,,,,,,,,,,
Education,Special Education & Interventions,Transition Specialist,,OCP,18965,131001,,1,3,,,,,,,,,,,,,,,,,,
Education,~No Dept/Shared,General Studies,,BGS,20405,240102,,,1,4,1,,,,,,,,,,,,,,,,
Education,Total,Total,Total,Total,Total,Total,962,902,893,864,795,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Counselor Education & Family Therapy,Counselor Education,Clinical Professional Counslng,MS,00049,131101,70,65,59,64,87,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Counselor Education & Family Therapy,Counselor Education,School,MS,00049,131101,67,54,41,39,44,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Counselor Education & Family Therapy,Counselor Education,Student Development/Higher Ed,MS,00049,131101,46,39,33,37,39,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Counselor Education & Family Therapy,Marriage & Family Therapy,,MS,06159,511505,114,100,68,50,44,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Counselor Education & Family Therapy,Professional Counseling,,PM CERT,14631,422803,18,17,15,17,7,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Nurse Anesthesia Practice,Nurse Anesthesia Practice,,DNAP,18266,513804,1,,,,1,,,,,,,,,,,,,,,,
Health & Rehabilitation Sciences,Nurse Anesthesia Practice,Nurse Anesthesia Practice,Advanced Specialization (DNAP),DNAP,18266,513804,12,17,13,9,5,,,,,,,,,,,,,,,,
